asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,225 | Behavioral cloning loss (Bob loss) after epoch 58: 0.9781328439712524
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,285 | PPO objective after epoch 59: 37.276405334472656
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,285 | Value loss (MSE loss) after epoch 59: 4196711.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,285 | Behavioral cloning loss (Bob loss) after epoch 59: 0.9591535329818726
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,344 | PPO objective after epoch 60: 8.910789489746094
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,344 | Value loss (MSE loss) after epoch 60: 119815.515625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,344 | Behavioral cloning loss (Bob loss) after epoch 60: 0.9865641593933105
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,408 | PPO objective after epoch 61: 8.214272499084473
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,409 | Value loss (MSE loss) after epoch 61: 194488.859375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,409 | Behavioral cloning loss (Bob loss) after epoch 61: 1.0112260580062866
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,473 | PPO objective after epoch 62: 6.6072001457214355
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,473 | Value loss (MSE loss) after epoch 62: 109494.4609375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,473 | Behavioral cloning loss (Bob loss) after epoch 62: 0.972611129283905
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,531 | PPO objective after epoch 63: 6.882434844970703
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,532 | Value loss (MSE loss) after epoch 63: 164972.21875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,532 | Behavioral cloning loss (Bob loss) after epoch 63: 1.0239145755767822
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,600 | PPO objective after epoch 64: 24.708656311035156
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,600 | Value loss (MSE loss) after epoch 64: 1096972.125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,600 | Behavioral cloning loss (Bob loss) after epoch 64: 0.9637346267700195
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,657 | PPO objective after epoch 65: 5.048189640045166
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,657 | Value loss (MSE loss) after epoch 65: 67587.5546875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,657 | Behavioral cloning loss (Bob loss) after epoch 65: 0.9755710363388062
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,718 | PPO objective after epoch 66: 20.64665985107422
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,718 | Value loss (MSE loss) after epoch 66: 1000057.75
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,718 | Behavioral cloning loss (Bob loss) after epoch 66: 0.9345580339431763
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,779 | PPO objective after epoch 67: 68.41650390625
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,779 | Value loss (MSE loss) after epoch 67: 3667753.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,779 | Behavioral cloning loss (Bob loss) after epoch 67: 0.9170641303062439
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,842 | PPO objective after epoch 68: 92.54776763916016
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,842 | Value loss (MSE loss) after epoch 68: 52150524.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,843 | Behavioral cloning loss (Bob loss) after epoch 68: 1.0029726028442383
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,899 | PPO objective after epoch 69: 12.691205978393555
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,899 | Value loss (MSE loss) after epoch 69: 528585.8125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,899 | Behavioral cloning loss (Bob loss) after epoch 69: 0.9353620409965515
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,967 | PPO objective after epoch 70: 91.84867858886719
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,968 | Value loss (MSE loss) after epoch 70: 17227858.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,968 | Behavioral cloning loss (Bob loss) after epoch 70: 1.0029057264328003
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:35,023 | PPO objective after epoch 71: 4.591585159301758
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:35,023 | Value loss (MSE loss) after epoch 71: 38486.3203125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:35,023 | Behavioral cloning loss (Bob loss) after epoch 71: 0.9145738482475281
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:35,087 | PPO objective after epoch 72: 4830.0185546875
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:35,087 | Value loss (MSE loss) after epoch 72: 60871544832.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:35,087 | Behavioral cloning loss (Bob loss) after epoch 72: 1.003991723060608
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:35,156 | PPO objective after epoch 73: 49.69256591796875
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:35,156 | Value loss (MSE loss) after epoch 73: 2679808.75
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:35,156 | Behavioral cloning loss (Bob loss) after epoch 73: 0.9375342130661011
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:35,214 | PPO objective after epoch 74: 7.503456115722656
